id|class|attribute|sentimen|tweet_asli|tweet
175|ekonomi|harga|netral|Ingin skill anak bangsa dihargai di negara sendiri?   17 April : âˆš Tusuk Prabowo Sandi !   #UASdifitnahKejiBalasDiTPS https://twitter.com/tuanmarajo/status/1117499727497424896Â â€¦|skil anak bangsa harga negara 17 april tusuk prabowo sandi
176|ekonomi|ekonomi|netral|Jalan tol trans Sumatera bukan Melanjutkan tapi pak Jokowi yg mulai duluan.  Ekonomi kita berkembang 5% dalam setahun, disaat ekonomi negara lain tidak berkembang bahkan minus.  Rupiah sekarang 14.300, stabil sejak zaman SBY.  Inflasi di setiap negara pasti ada. Apa lagi?|jalan tol trans sumatera lanjut jokowi duluan ekonomi kembang 5 tahun sat ekonomi negara kembang minus rupiah 14 30 stabil zaman sby inflasi negara
177|ekonomi|ekonomi|netral|mau tanya impact buat negara kek gimana? kalo gamers ini difasilitasi, bisa bikin negara lain mandang gamers indo hebat. bisa tuh diadain penyelenggaraan game internasional di indo, impact apa? sponsor banyak, kunjungan wisatawan meningkat. ekonomi sekitar bisa maju.|impact negara gimana gamers fasilitas bikin negara mandang gamers indo hebat diadain lengar game internasional indo impact sponsor kunjung wisatawan tingkat ekonomi maju
178|ekonomi|ekonomi|netral|Subsidi yg tepat sasaran itu baik semua pasti setuju. Tapi kalau bicara daya beli masyarakat melemah sesaui dgn topik ekonomi yg kita bahas apa pd tdk setuju?|subsidi sasar tuju bicara daya beli masyarakat lemah sau dgn topik ekonomi bahas tuju
179|ekonomi|ekonomi|netral|bisa, psimis amat si jd orang. dr pecinta game lu bisa jadi developer game, nyerap tenage kerja? iyalah. dr game lu bisa jualan printilan2 yg dibutuhin misal diamond mobilegend. apa2 tuh dibangun pelan2 dr bawah. bukan langsung tanya bisa ngubah ekonomi makro ato gak.|psimis orang cinta game developer game nyerap tenage kerja iya game jual printilan dibutuhin diamond mobilegend bangun pelan langsung ngubah ekonomi makro gak
180|ekonomi|harga|netral|Kalo dari Lampung ke Aceh makan waktu 4 hari 4 Malam pake jalan umum. Kalau pake tol 1 hari. Bensin irit, barang cepat sampai, transport Bahan pangan jadi murah. Harga bahan pokok murah. Terus yang bikin harga bahan pokok naik dimana?|lampung aceh makan 4 4 malam pake jalan pake tol 1 bensin irit barang cepat transport bahan pangan murah harga bahan pokok murah bikin harga bahan pokok mana
182|ekonomi|ekonomi|negatif|Dolar udh lama turun tong, kalo ga ngerti ekonomi jgn sok bicara ekonomi. Belajar ekonomi dulu sana.|dolar turun tong ga ngerti ekonomi bicara ekonomi ajar ekonomi
183|ekonomi|gaji|netral|Setelah melihat dirut PAM dan JAkpro diisi dgn org2 Pak Sandi, pemenang tender penyedia susu dr perusahaan Pak Prabowo,  belum lagi yang lain2 yang belum terungkap. Apalah arti uang recehan gaji pokok jadi pejabat publik, mending buat pencitraan aja tidak usah diambil.|dirut pam jakpro disi dgn sandi menang tender sedia susu usah prabowo ungkap apa arti uang receh gaji pokok jabat publik mending pencitran ambil
185|ekonomi|pajak|negatif|Kalo masalahnya bayar, jalan biasa pun tetep bayar lho walau secara nda langsung lewat pajak. Kalo gabayar darimana duit perawatannya?|bayar jalan tetep bayar nda langsung pajak gabayar darimana duit perawatanya
186|ekonomi|gaji|netral|emang terbukti sandi jadi gubernur gak di ambil gajinya|emang bukti sandi gubernur gak ambil gaji
189|ekonomi|harga|netral|Pertemuan Jokowi dengan Menlu Thailand mendorong keterlibatan ASEAN untuk membantu Myanmar dalam penyelesaian konflik Rohingya. Selain itu, secara khusus Jokowi menyampaikan satu isu terkait dengan harga karet dunia #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1106141449890889728/video/1Â â€¦|temu jokowi menlu thailand dorong libat asean bantu myanmar selesai konflik rohingya khusus jokowi isu kait harga karet dunia
190|ekonomi|ekonomi|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi [News].  https://news.okezone.com/read/2019/04/14/337/2043470/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-news-Â â€¦|presiden jokowi raja salman sepakat tingkat kerja ekonomi news
191|ekonomi|ekonomi|netral|Presiden Jokowi Gelar Pertemuan Dengan Raja Salman Bahas Kerja Sama Ekonomi  https://www.bhayangkaranews.co.id/internasional/presiden-jokowi-gelar-pertemuan-dengan-raja-salman-bahas-kerja-sama-ekonomi-20190415/Â â€¦|presiden jokowi gelar temu raja salman bahas kerja ekonomi
192|ekonomi|pajak|positif|Infrastruktur itu penting untuk perekonomian dan pemerataan,tapi ingat membangun itu semua tidaklah gratis,semua dibangun melalui hutang dan dibayar melalui pajak ke rakyat,.jagalah amanah rakyat jika terpilih kembali dan jangan kamu menghianati demokrasi,.sehat selalu presidenku|infrastruktur ekonomi merat bangun gratis bangun hutang bayar pajak rakyat jaga amanah rakyat pilih menghianati demokrasi sehat presiden
193|ekonomi|harga|negatif|Litah tk bertulng,owo bilng mndiri di kaki sndiri,tpi bljr dri cina,,pjk di hpus ,yg gji elit dn exsekutif siapa,,klo cuma omng sembako murh,listrik murh,jokowi juga bisa ,tpi negara ambruk,murah setahun 2 thun negara nombok trus naik lgi harga2|litah tk bertulng owo bilng mndiri kaki sndiri bljr cina pjk hpus gji elit exsekutif omng sembako murh listrik murh jokowi negara ambruk murah tahun 2 thun negara nombok trus harga
195|ekonomi|ekonomi|positif|Perubahan segalanya...yg paling utama keadilan sosial bagi seluruh Rakyat indonesia..khususnya HARGA SEMBAKO murah ..|ubah utama adil sosial rakyat indonesia harga sembako murah
196|ekonomi|ekonomi|positif|Yusuf Mansur menilai Ma'ruf Amin sebagai sosok yang ideal untuk mendampingi Jokowi maju dalam pemilihan presiden (pilpres) 2019. Pasangan ini diharapkan nantinya mampu mendongkrak ekonomi syariah.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih|yusuf mansur nilai ma ruf amin sosok ideal damping jokowi maju pilih presiden pilpres 2019 pasang harap dongkrak ekonomi syariah
200|ekonomi|harga|negatif|Gw bertanding apa sampe kalah?  Gubernur Indonesia Anies B? Wina ini jauh melompat, pakar ekonomi/kelola keuangan tp harga pada naik, ekonomi masy tak meningkat. Trus ajakannya cuma bisa suruh ikat pinggang yg kencang dan sabar.  Sorry yg terbiasa di jalan tak kenal sensi.|tanding sampe kalah gubernur indonesia anies wina lompat pakar ekonomi kelola uang harga ekonomi masy tingkat trus ajakanya suruh ikat pingang kencang sabar biasa jalan kenal sensi
202|ekonomi|gaji|positif|Pernyataan penutup yg gemilang... Cukup satu kartu,  tidak akan mengambil gaji,  dan 13 kali ke TPS (Tusuk Prabowo Sandi).. Ditambah lg Pak Prabowo yg mengatakan dana desa adlh atas inisiatif beliau saat menjabat sebgai ketua HKTI tanpa perlu dipolitisasi..|pernyatan tutup gemilang kartu ambil gaji 13 kali tps tusuk prabowo sandi tambah lg prabowo dana desa inisiatif beliau sat jabat sebgai ketua hkti politisasi
203|ekonomi|ekonomi|negatif|Sah gundulmu itu jokowi dalam rangka memperkuat hubungan ekonomi dengan arab. Kalo ada kecurangan ya lapor dong ke bawaslu. Anggota bawaslu dipilih dan di seleksi di dpr yang di dpr sendiri terdiri dari berbagai partai termasuk partai pengusung oposisi.|sah gundul jokowi rangka kuat hubung ekonomi arab curang lapor bawaslu angota bawaslu pilih seleksi dpr dpr partai partai usung oposisi
205|ekonomi|ekonomi|netrla|@jokowi @mohmahfudmd @SBYudhoyono @setkabgoid  Salam kebangsaan NKRI DAN PANCASILA HARGA MATI UTK Sabang sampai Maroke, saya bukan org politik tetapi penonton politik,pendapat sya demokrasi pilih presiden lÃ ngsung oleh rakyat sangat tepat,tetapi dari sis|salam kebangsan nkri pancasila harga mati utk sabang maroke politik tonton politik dapat demokrasi pilih presiden l ngsung rakyat sisi
207|ekonomi|harga|positif|Mau harga harga murah pilih prabowo sandi mau hrga listrik murah pilih prabowo sandi mau lowongan kerja pilih prabowo sandi mau hentikan impor saat panen pilih prabowo sandi pokonya @prabowo @sandiuno  yesss yessss|harga harga murah pilih prabowo sandi hrga listrik murah pilih prabowo sandi lowong kerja pilih prabowo sandi henti impor sat panen pilih prabowo sandi poko yes yes
211|ekonomi|ekonomi|positif|Liat video ini netes juga air mata. Kita doakan semoga @prabowo @sandiuno MENANG agar nasib ekonomi para ojol bisa lebih baik lagi aaminnnn ðŸ™|liat video netes air mata doa moga menang nasib ekonomi ojol amin
213|ekonomi|harga|negatif|"Digital"" itu penting, tp swasembada pangan, harga pangan murah itu jauh lebih dibutuhkan masyarakat.  Dasar gak tau prioritas. Kayak gtu minta 2 periode."|digital swasembada pangan harga pangan murah butuh masyarakat dasar gak tau prioritas kayak 2 periode
214|ekonomi|gaji|netral|Yah ngapain juga digaji, Kan udahhh kayaaa raya congggg ðŸ¤£ðŸ¤£ðŸ¤£  ,paling ngambil dikit aja, gakpapa katanya kalo cuma dikit. Hehe. Salam Dua Jari. Prabowo Sandi  https://twitter.com/detikcom/status/1117096753759686657Â â€¦|ngapain gaji udah kaya raya cong ngambil dikit gakpapa dikit hehe salam jari prabowo sandi
215|ekonomi|gaji|negatif|Muslim kaffahnya, termasuk gaji karyawannya gak dibayar jg itu to, ngemplang pajak PANAMA papers jgn lupa, Indonesia bubar maju jalanðŸ¤£ðŸ¤£ðŸ¤£ Jd ingat lucinta Luna, suka batangan.. yg homo siapa, ingaaaatðŸ¤£ðŸ¤£ðŸ¤£|muslim kafah gaji karyawanya gak bayar ngemplang pajak panama papers lupa indonesia bubar maju jalan lucinta luna suka batang homo
218|ekonomi|kesejahteraan|negatif|kedaulatan negara ditentukan oleh kedaulatan ekonomi dan kesejahteraan. Kita tak berdaulat secara ekonomi,  karena salah kelola di rezim orba.  JOKOWI lagi membenahi dari dasar PONDASI EKONOMI.   Analisanya kok begini?|daulat negara tentu daulat ekonomi kesejahteran daulat ekonomi salah kelola rezim orba jokowi benah dasar pondasi ekonomi analisanya
219|ekonomi|pertumbuhan|netral|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan pak @jokowi -JK, sangat jauh meningkat.   https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]|capai hasil capai tumbuh ekonomi era perintah jk tingkat
220|ekonomi|pertumbuhan|netral|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. Coblos 01 JUARA   https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]|capai hasil capai tumbuh ekonomi era perintah jk tingkat coblos 01 juara
221|ekonomi|ekonomi|negatif|Iya isi dompet gue kaya ekonomi Indonesia, kalo kata Pak @prabowo salah jalan.  Makanya sekarang dompet udah gue pasangin kompas. Belum pake gps, masih ngumpulin modalnya dulu.|iya isi dompet kaya ekonomi indonesia salah jalan dompet udah pasangin kompas pake gps ngumpulin modal
223|ekonomi|harga|positif|Pak Prabowo concern  benahi tata kelola negara..  pertahanan negara  hingga harga diri bangsa  di mata dunia  Bang Sandi fokus  garap kekuatan ekonomi sinergikan pemerintah dan  power rakyatnya  para ulama 212 fokus garap  iman dan akidah juga akhlaq umat  #Ruh212 #MCAHacktivis|prabowo concern benah tata kelola negara tahan negara hinga harga bangsa mata dunia bang sandi fokus garap kuat ekonomi sinergi perintah power rakyat ulama 212 fokus garap iman akidah akhlaq umat
224|ekonomi|ekonomi|negatif|Pemahaman tata negara. Pemahaman akan peraturan. Pemahaman akan kebijakan ekonomi. Pemahaman kalau kursi mentri hrs diisi org2 yg kompeten (walau tidak tepat 100%..)  Ketimbang prabowo.. belum apa2 sudah bagi2 jatah kursi menteri untuk parpol2 pendukungnya.|paham tata negara paham atur paham bijak ekonomi paham kursi tri disi kompeten 10 ketimbang prabowo jatah kursi menteri parpol dukung
225|ekonomi|ekonomi|negatif|Yg diserang ekonomi makro woooyyy!!! Lu liat,pengangkut sembako,dulu belum ada tol,dia dijalan mikir jam!! Sekarang,tinggal bayar,waktu terganti. Gw pelakunya!!|serang ekonomi makro liat angkut sembako tol jalan mikir jam tingal bayar ganti laku
226|ekonomi|ekonomi|netral|Gileee... Ratusan juta mata menonton menyaksikan sebuah pengakuan yg cukup berani dan jujur,  bhw kebijakan ekonomi itu bkn salah pak jokowi, tp slh orang satu koalosinya, makanya prabowo dan sandi berpelukan erat,, pertanda mrk tdk akan bersama lg utk bericara didpn umum.|gile ratus juta mata tonton saksi aku berani jujur bijak ekonomi bkn salah jokowi slh orang koalosinya prabowo sandi peluk erat tanda mrk lg utk bericara didpn
228|ekonomi|ekonomi|negatif|Udah gagal minta 2 priode. Saat debat bukan fokus ekonomi malah bahas games mobile legend dll. GAK BERFAEDAH.  yai pun menanyakan harta kekayaan prabowo apa urusan dngan negara dan gak fokus soal kebangsaan.  HARUS LENGSER|udah gagal 2 priode sat debat fokus ekonomi bahas games mobile legend gak faedah yai harta kayan prabowo urus dngan negara gak fokus kebangsan lengser
231|ekonomi|ekonomi|netral|Gelar pertemuan bilateral, Presiden Jokowi dan Raja Salman sepakat ke depan, kerja sama ekonomi akan terus ditingkatkan terutama di bidang energi dan pariwisata.  pic.twitter.com/Ro2jLYPeeL|gelar temu bilateral presiden jokowi raja salman sepakat kerja ekonomi tingkat bidang energi pariwisata
232|ekonomi|harga|negatif|Semua sudah ada NJOP nya,jadi kalau ngeyel harga nya ditinggiin,ya itu salah yg minta lah!!!|njop ngeyel harga ditingin salah
234|ekonomi|ekonomi|negatif|Kan katanya pak sandi lulusan amerika ipk nya 4 katanya jd khatam banget makro dan mikro ini.. Tapi kok kalah sama sarjana kehutanan.. Apakah p jokowi jurusan ekonomi kehutanan?|sandi lulus amerika ipk 4 khatam banget makro mikro kalah sarjana hutan jokowi jurus ekonomi hutan
235|ekonomi|ekonomi|netral|Pak Prabowo ternyata memiliki jiwa sportif, bhw Kesalahan Kebijakan Ekonomi Indonesia terjadi puluhan tahun sblm Pak Jokowi berkuasa,cuma sayang Partai Koalisinya tdk suka bhk ada yg emosi dg kejujuran Pak Prabowo mengungkap fakta. Aneh...!|prabowo milik jiwa sportif salah bijak ekonomi indonesia puluh sblm jokowi kuasa sayang partai koalisi suka bhk emosi jujur prabowo ungkap fakta aneh
236|ekonomi|ekonomi|negatif|"Salah arahnya Pembangunan Ekonomi Indonesia saat ini juga tak terlepas dari andil #presiden sebelum #Jokowi. ""Saya tidak menyalahkan Bapak. Ini kesalahan besar, kesalahan besar presiden-presiden sebelum Bapak. Kita...  https://media0.giphy.com/media/1esS6V0Us2JQCLIH4t/giphy.gifÂ â€¦"|salah arah bangun ekonomi indonesia sat lepas andil salah salah salah presiden presiden
238|ekonomi|harga|negatif|Lalu harga tiket pesawat kapan diturunkan pak?,saya sangat brharap besar dlm aspek ini,trlbh dngan mahal ny harga tiket pswt terbang yg amat tinggi/mahal tarif biaya expdisi antar kota pun ikut melonjak naik|harga tiket pesawat turun brharap aspek trlbh dngan mahal harga tiket pswt terbang tingi mahal tarif biaya expdisi kota lonjak
239|ekonomi|gaji|negatif|Paling parah malaysia mba, bayangkan 2jt org hrs beetumpu di 3 tps,  apakah kita sebagai warga negara tdk blh kritik dan tdk blh marah kl liat para pelaksana swperti itu,  sedangkan mereka di gaji olh uang negara.|parah malaysia mba bayang jt betumpu 3 tps warga negara blh kritik blh marah liat laksana swperti gaji olh uang negara
242|ekonomi|ekonomi|netral|Ya drpd mikirin yg kyk gtu mending mikirin hal yg mendasar dulu dong,ekonomi dll,lha klo ketagihan game online bikin malas sgl nya,di suruh wirid ke masjid malah nongkrong di warnet,bergayalah sesuai isi kantong|drpd mikirin mending mikirin dasar ekonomi tagih game online bikin malas sgl suruh wirid masjid nongkrong warnet gaya sesuai isi kantong
245|ekonomi|ekonomi|negatif|Kata die zaman jokowi ekonomi anjlok, tapi punya gadget sebanyak itu. Belum lagi bayar wifi. Terus dia bilang anjlok n serba mahal itu apa?|die zaman jokowi ekonomi anjlok gadget bayar wifi bilang anjlok n serba mahal
246|ekonomi|ekonomi|netral|Janji Tak Ambil Gaji jika Terpilih, Prabowo-Sandi Ikuti Jejak Para Presiden Terkenal Ini #UASdifitnahKejiDanBrutal #BeraniPilih02 #TusukPrabowoSandi #HoaxJkwMenangTotalDebat  http://bit.ly/2v9QUqhÂ |janji ambil gaji pilih prabowo sandi ikut jejak presiden kenal
247|ekonomi|ekonomi|netral|Y memang lebih kecil. Tp pngetahuan tata kelola ekonomi negara jauh kelasnya|pngetahuan tata kelola ekonomi negara kelas
249|ekonomi|gaji|netral|prabowo sudah berbuat apa untuk rakyat kecil...?? sedang gaji karyawannya aja...belum dibayar sampai sekarang....heheheheee|prabowo buat rakyat gaji karyawanya bayar
250|ekonomi|gaji|negatif|Akui kekurangan ya. Akui prabowo dulu kristen. Sekarang mualaf. Ibunya kristen. Hashim kristen. Gak bisa sholat. Wudhu gerakan salah. Gak bisa ngaji. Dipecat dari TNI. 1% dari elit bajingan.|aku kurang aku prabowo kristen mualaf ibu kristen hashim kristen gak sholat wudhu gera salah gak ngaji pecat tni 1 elit bajing
252|ekonomi|gaji|netral|Prabowo dan Sandi berniat ga ambil gaji kalo menjabat. Ini memang gayanya Donald Trump, dia memang gakmau digaji. Ya udah tajir mau gmn lagi|prabowo sandi niat ga ambil gaji jabat gaya donald trump gakmau gaji udah tajir
254|ekonomi|harga|netral|Di bawah perintah pak @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter. #PilihOrangBaik  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦ #PilihJelasIslamnya #PilihBajuPutih|perintah bangun spbu setelag 71 kabupaten puncak jaya papua harga ribu liter 650 liter
255|ekonomi|ekonomi|netral|cc @erickthohir kekurangan danakah?  Atau tidak mau tau?  Atau apa? Plisss..Jangan dibiarkan pendukung Jokowi-Amin seolah tidak ada yang peduli. Hargai suara mereka.  https://twitter.com/B_54TR14_/status/1117466538414493696Â â€¦|kurang dana tau plis biar dukung jokowi amin peduli harga suara
256|ekonomi|ekonomi|netral|Om Prabs kalo mau membangkitkan ekonomi, lepas dari hutang dunia, lepas dari cengkraman elite global, kuncinya satu, jangan pakai uang kertas, balik pakai emas, dan perak sebagai alat tukar. Sudah itu saja. Resiko melawan dunia kita hadapi bersama sebagai satu bangsa.|om prabs bangkit ekonomi lepas hutang dunia lepas cengkraman elite global kunci pakai uang kertas pakai emas perak alat tukar resiko lawan dunia hadap bangsa
257|ekonomi|ekonomi|negatif|Gaji karyawan yang terkatung-katung apa kabar?|gaji karyawan katung katung kabar
258|ekonomi|gaji|negatif|jokowi merakyat dibilang pencitraan. jokowi baik dibilang akting. jokowi sholat dicela, prabowo gak bisa sholat ngaji dan wudhu salah2 kalian gak mau melek. dari sini ajesih udeh ketaker sih ye otak kalian tu seberapa.  astaga -.-|jokowi rakyat bilang pencitran jokowi bilang akting jokowi sholat cela prabowo gak sholat ngaji wudhu salah gak melek ajesih udeh ketaker otak astaga
259|ekonomi|ekonomi|netral|Presiden Jokowi dan Raja Salman akan Tingkatkan Kerja Sama Ekonomi  https://panrita.news/2019/04/15/presiden-jokowi-dan-raja-salman-akan-tingkatkan-kerjasama-ekonomi/Â â€¦|presiden jokowi raja salman tingkat kerja ekonomi
262|ekonomi|ekonomi|negatif|Sampah...  @KPU_ID yg Gajih km siapa?   @jokowi loe mau mnang dngn cara begini?   ðŸ˜“ðŸ˜“ðŸ˜“|sampah gajih mnang dngn
265|ekonomi|gaji|negatif|Saiki PNS podo turu, lemes... Soale kerjoe benerÂ² diawasi... Mangkane nangis dukung prabowo ben iso turu gaji gede... Fakkk pahlawan minta jasa  https://twitter.com/toha_demokrat/status/1000534469478989824Â â€¦|saiki pns podo turu lemes soale kerjoe bener awas mangkane nang dukung prabowo ben iso turu gaji gede fak pahlawan jasa
266|ekonomi|ekonomi|positif|Turut mengembangkan ekonomi syariah sesuai dengan yang diamanatkanÂ Ma'ruf Amin. Aliansi Kiai Kampung Madura (Akma) siap menangkan Jokowi. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih https://news.detik.com/berita/d-4390375/dapat-dukungan-kiai-madura-maruf-harap-elektabilitas-naik?_ga=2.165283322.474562531.1548204037-255565881.1548204037Â â€¦|kembang ekonomi syariah sesuai amanat ma ruf amin aliansi kiai kampung madura akma menang jokowi
267|ekonomi|ekonomi|netral|"Lha itu artinya ekonomi anda baik"" saja ,,malah bisa pakai 12kg"|ekonomi pakai kg
268|ekonomi|harga|negatif|Rakyat ingin pekerjaan, pekerjanya diimpor dari China. Rakyat panen padi, berasnya impor. Rakyat ingin sembako murah, suruh tanam sendiri. Petani karet minta kenaikan harga, suruh tanam jengkol...  Jokowi mmg tau kemauan rakyat...   Ya Rabb, semoga otakku masih sehat.|rakyat pekerjan kerja dimpor china rakyat panen padi beras impor rakyat sembako murah suruh tanam tani karet naik harga suruh tanam jengkol jokowi tau mau rakyat rab moga otaku sehat
270|ekonomi|gaji|netral|Janji Tak Ambil Gaji Prabowo-Sandi Persis Donald Trump  https://cnnindonesia.com/ekonomi/20190413232329-532-386131/janji-tak-ambil-gaji-prabowo-sandi-persis-donald-trump?utm_source=facebook&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedÂ â€¦|janji ambil gaji prabowo sandi persis donald trump
271|ekonomi|ekonomi|positif|Di kepemimpinan Presiden Jokowi, Indonesia maju saat perekonomian dunia tidak menentu.|pimpin presiden jokowi indonesia maju sat ekonomi dunia tentu
274|ekonomi|harga|netral|berita itu  http://betul.tpÂ  berita lama. didesaku ada beberapa pemilik sawah yg ngga cocok harga. sawah2 itupun jg dilewatin bangun jlnnya. termsk sawah kakakku. stlh ada titik temu ya disambung jln tolnya. sdhlah. demi Allah aku bicara jujur.ngga ada hubnya dng capres.|berita berita desa milik sawah cocok harga sawah dilewatin bangun jlnya termsk sawah kakaku titik temu sambung jln tol sdhlah alah bicara jujur hubnya capres
276|ekonomi|harga|netral|Maaf mas saya gk pake yg subsidi,saya pake yg12kgðŸ˜‚soal harga udah tertera di nomor reg.nya dan wajib di tempel kan di dinding toko biar masyarakat tau,mangkanya saya tanya ke abg saya knp harganya brubah,katanya di ubah pk jokowi,subsidinya di alihkan|maf pake subsidi pake ygkg harga udah tera nomor reg wajib tempel dinding toko biar masyarakat tau mangkanya abg knp harga brubah ubah pk jokowi subsidi alih
277|ekonomi|ekonomi|netral|Video dengan sudut pandang berbeda, mau @jokowi atau @prabowo sama saja.   https://youtu.be/qlB7vg4I-ToÂ   Video yg membahas secara real masalah energi, sosial, lingkungan, ekonomi, politik, dan budaya dari batubara.|video sudut pandang beda video bahas real energi sosial lingkung ekonomi politik budaya batubara
278|ekonomi|harga|negatif|Aduh bego nya kampret yankayak gini, presidem sebelum Jokowi ya termasuk SBY, aduh kampret otak nya maundi reparasi tetep goublok..ðŸ¤£ðŸ¤£ðŸ¤£..BBM itu sekarang ngikutin harga pasar jd kalo naek ya naek kalo turun ya turun, BBM subsidi nga naek, kampret ilmu cetek aja belagu..ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£|bego kampret yankayak gin presidem jokowi sby kampret otak maundi reparasi tetep goublok ngikutin harga pasar naek naek turun turun subsidi naek kampret ilmu cetek belagu
279|ekonomi|ekonomi|positif|Saya selalu berdoa dalam hati.agar pak @prabowo mjd PRESIDEN RI.saat ini ekonomi buruk pak.sampai2 ponsel sy tutup krn ekonomi masyarakat carut marut..dn ketika menjadi PRESIDEN nanti tolong perbaiki ekonomi masyarakat pak..wslm 02 dihati.|doa hati mjd presiden ri sat ekonomi buruk ponsel tutup ekonomi masyarakat carut marut presiden tolong baik ekonomi masyarakat wslm 02 hati
280|ekonomi|ekonomi|netral|Presiden Jokowi - Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://jatim.sindonews.com/read/9583/1/presiden-jokowi-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-1555254249?utm_source=dlvr.it&utm_medium=referralÂ â€¦|presiden jokowi raja salman sepakat tingkat kerja ekonomi
281|ekonomi|pajak|negatif|Media asing yg mana?! Ayo tunjukkan, yg mana?! Jgn cuma berangan-angan lantas menabur Fitnah?!  Aku udah jijik dgn kebohongan dan kesombongan kau @Fahrihamzah !!!  Dibanding @jokowi kau tidak ada apa-apanya!!  Sama-sama makan Gaji dari pembayar pajak, tapi Kau Banyak Tidurnya!!|media asing tunjuk berangan angan lantas tabur fitnah udah jijik dgn bohong sombong kau banding kau apa makan gaji bayar pajak kau tidur
282|ekonomi|harga|netral|"Jgn "" anda dpt harga 16rb karena itu toko abang andaðŸ˜‚ðŸ˜‚ðŸ˜‚"|dpt harga rb toko abang
283|ekonomi|gaji|negatif|Kualitas obama sama wowo ya kayak langit sama.comberan lah...obama ngga pernah bermasalah dalam karier lah kalo wowo di pecat trus gaji karyawan ngga dibayar..wowo sama lurah ada belum tentu lebih pinter..Jokowi udah jd pejabat berpengalaman makanya bisa jd Presiden...bangun pret|kualitas obama wowo kayak langit comberan obama masalah karier wowo pecat trus gaji karyawan bayar wowo lurah pinter jokowi udah jabat alam presiden bangun pret
284|ekonomi|ekonomi|netral|Harga 18rb ,,untuk konsumen atau pemakai pribadi....  Kalau untuk pedagang ,jatuhnya 16rb/tabung|harga rb konsumen pakai pribadi dagang jatuh rb tabung
286|ekonomi|gaji|netral|#UASdifitnahKejiDanBrutal tapi @prabowo @sandiuno siap sodaqohkan gaji nyaðŸ˜­ https://twitter.com/BangSjahrir/status/1117430313909493760Â â€¦|sodaqohkan gaji
287|ekonomi|ekonomi|netral|#JokowiJelasIslamnya #PilihOrangBaik #CoblosYangBajuPutih #BantenJokowiAmin #Banten01 Pengalaman @KHMarufAmin_ dalam ekonomi sudah malang merintang. Yakni dengan mendirikan koperasi, Baitul Mal wa Tamwil (BMT) sejenis koperasi syariah. @jokowi  pic.twitter.com/0hQUSxmAdI|alam ekonomi malang rintang diri koperasi baitul mal wa tamwil bmt jenis koperasi syariah
288|ekonomi|ekonomi|netral|Charles Honoris, Jokowi Bangun Indonesia lewat Ekonomi Kreatif:  http://bit.ly/1skexYbÂ |charles honor jokowi bangun indonesia ekonomi kreatif
289|ekonomi|ekonomi|netral|Presiden @jokowi dan Raja Salman menggelar pertemuan bilateral di Istana Pribadi Raja (Al-Qasr Al-Khas), Minggu (14/4) sore. Dalam pertemuan yang berlangsung selepas jamuan santap siang itu, keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi. (Foto dan berita: BPMI)  pic.twitter.com/68JRXIbsbz|presiden raja salman kelar temu bilateral istana pribadi raja qasr khas mingu 14 4 sore temu lepas jamu santap siang sepakat tingkat kerja bidang ekonomi foto berita bpmi
290|ekonomi|harga|netral|tp kenapa  fokus akan hal begitu  unicorn lah dll tidak selama nya dunia digital baik  contoh ecomerce  memamg harga lebih murah tapi memutus mata rantai distribusi sehinga distributor bisa menjual langsung barg sehingga masarakat tdk dpt kebagaian keutungan sbgai pengecer   :/|fokus unicorn dunia digital contoh ecomerce memamg harga murah putus mata rantai distribusi sehinga distributor jual langsung barg sehinga masarakat dpt bagai keutungan sbgai ecer
291|ekonomi|ekonomi|netral|Prabowo-Sandi Kembali Tegaskan Tidak Akan Ambil Gaji Bila Terpilih  https://politik.rmol.co/read/2019/04/13/385982/Prabowo-Sandi-Kembali-Tegaskan-Tidak-Akan-Ambil-Gaji-Bila-Terpilih-Â â€¦|prabowo sandi tegas ambil gaji pilih
